"후보자","정당","여론지지율","연결중심성","매개중심성","근접중심성","페이지랭크","종합점수"
"신용한","더불어민주당",22.1,6,0.142,1.25,0.131,0.396
"노영민","더불어민주당",16.8,6,0.15,1.231,0.135,0.394
"송기섭","더불어민주당",10.3,3,0.025,1.364,0.113,0.144
"한범덕","더불어민주당",10.6,3,0,0.988,0.064,0.185
"윤희근","국민의힘",4.1,1,0,1.111,0.059,0.051
"이종배","국민의힘",4.4,1,0,1.25,0.059,0.051
"이재명","기타",0,1,0,0.755,0.026,0.067
"문재인","기타",0,1,0,0.625,0.035,0.08
"진천군","기타",0,1,0,0.75,0.048,0.048
"김영환","기타",0,1,0,0.702,0.029,0.07
"청주시","기타",0,2,0,0.661,0.057,0.144
"국토교통부","기타",0,1,0,0.882,0.035,0.044
"경찰청","기타",0,1,0,1.111,0.059,0.051
"충주시","기타",0,1,0,1.25,0.059,0.051
"윤석열","기타",0,1,0,0.708,0.029,0.072
"이시종","기타",0,1,0,0.8,0.024,0.06
"충북특별중심도","기타",0,1,0,0.833,0.039,0.045
