"region","candidate","x","y","base_score","Total_Influence","final_score"
"청주","신용한",2,4,5,0.0532256074433228,5.26612803721661
"충주","신용한",4,6,0,0.0532256074433228,0
"제천","신용한",6,7,0,0.0532256074433228,0
"단양","신용한",7,7,0,0.0532256074433228,0
"음성","신용한",3,6,0,0.0532256074433228,0
"진천","신용한",2,5,0,0.0532256074433228,0
"괴산","신용한",4,5,0,0.0532256074433228,0
"증평","신용한",3,5,0,0.0532256074433228,0
"보은","신용한",4,4,0,0.0532256074433228,0
"옥천","신용한",3,3,0,0.0532256074433228,0
"영동","신용한",3,2,0,0.0532256074433228,0
"청주","노영민",2,4,5,0.0790659287930648,5.39532964396532
"충주","노영민",4,6,0,0.0790659287930648,0
"제천","노영민",6,7,0,0.0790659287930648,0
"단양","노영민",7,7,0,0.0790659287930648,0
"음성","노영민",3,6,0,0.0790659287930648,0
"진천","노영민",2,5,0,0.0790659287930648,0
"괴산","노영민",4,5,0,0.0790659287930648,0
"증평","노영민",3,5,0,0.0790659287930648,0
"보은","노영민",4,4,0,0.0790659287930648,0
"옥천","노영민",3,3,0,0.0790659287930648,0
"영동","노영민",3,2,0,0.0790659287930648,0
"청주","송기섭",2,4,0,0.0619047619047619,0
"충주","송기섭",4,6,0,0.0619047619047619,0
"제천","송기섭",6,7,0,0.0619047619047619,0
"단양","송기섭",7,7,0,0.0619047619047619,0
"음성","송기섭",3,6,0,0.0619047619047619,0
"진천","송기섭",2,5,8,0.0619047619047619,8.4952380952381
"괴산","송기섭",4,5,0,0.0619047619047619,0
"증평","송기섭",3,5,0,0.0619047619047619,0
"보은","송기섭",4,4,0,0.0619047619047619,0
"옥천","송기섭",3,3,0,0.0619047619047619,0
"영동","송기섭",3,2,0,0.0619047619047619,0
"청주","한범덕",2,4,8,0.00476190476190476,8.03809523809524
"충주","한범덕",4,6,0,0.00476190476190476,0
"제천","한범덕",6,7,0,0.00476190476190476,0
"단양","한범덕",7,7,0,0.00476190476190476,0
"음성","한범덕",3,6,0,0.00476190476190476,0
"진천","한범덕",2,5,0,0.00476190476190476,0
"괴산","한범덕",4,5,0,0.00476190476190476,0
"증평","한범덕",3,5,0,0.00476190476190476,0
"보은","한범덕",4,4,0,0.00476190476190476,0
"옥천","한범덕",3,3,0,0.00476190476190476,0
"영동","한범덕",3,2,0,0.00476190476190476,0
"청주","윤희근",2,4,5,0.0401497477076664,5.20074873853833
"충주","윤희근",4,6,0,0.0401497477076664,0
"제천","윤희근",6,7,0,0.0401497477076664,0
"단양","윤희근",7,7,0,0.0401497477076664,0
"음성","윤희근",3,6,0,0.0401497477076664,0
"진천","윤희근",2,5,0,0.0401497477076664,0
"괴산","윤희근",4,5,0,0.0401497477076664,0
"증평","윤희근",3,5,0,0.0401497477076664,0
"보은","윤희근",4,4,0,0.0401497477076664,0
"옥천","윤희근",3,3,0,0.0401497477076664,0
"영동","윤희근",3,2,0,0.0401497477076664,0
"청주","이종배",2,4,0,0.0546031746031746,0
"충주","이종배",4,6,8,0.0546031746031746,8.4368253968254
"제천","이종배",6,7,0,0.0546031746031746,0
"단양","이종배",7,7,0,0.0546031746031746,0
"음성","이종배",3,6,0,0.0546031746031746,0
"진천","이종배",2,5,0,0.0546031746031746,0
"괴산","이종배",4,5,0,0.0546031746031746,0
"증평","이종배",3,5,0,0.0546031746031746,0
"보은","이종배",4,4,0,0.0546031746031746,0
"옥천","이종배",3,3,0,0.0546031746031746,0
"영동","이종배",3,2,0,0.0546031746031746,0
"청주","임호선",2,4,0,0.076349025494487,0
"충주","임호선",4,6,0,0.076349025494487,0
"제천","임호선",6,7,0,0.076349025494487,0
"단양","임호선",7,7,0,0.076349025494487,0
"음성","임호선",3,6,3,0.076349025494487,3.22904707648346
"진천","임호선",2,5,8,0.076349025494487,8.6107922039559
"괴산","임호선",4,5,0,0.076349025494487,0
"증평","임호선",3,5,3,0.076349025494487,3.22904707648346
"보은","임호선",4,4,0,0.076349025494487,0
"옥천","임호선",3,3,0,0.076349025494487,0
"영동","임호선",3,2,0,0.076349025494487,0
